id,text,author
P125,El tiempo es el mejor autor; siempre encuentra un final perfecto.,Charles Chaplin
P126,"No se trata de qué tan alto llegues, sino de cuántas personas lleves contigo.",Anónimo
P127,El progreso ocurre fuera de la zona de confort.,Michael John Bobak
P128,Rodéate de quienes creen en tu grandeza.,Anónimo
P129,"El talento te da un punto de partida; el carácter, la meta.",Anónimo
P130,La duda mata más sueños que el fracaso.,Suzy Kassem
P131,La grandeza comienza con un corazón humilde y un espíritu dispuesto.,Anónimo
P132,Sembramos pensamientos y cosechamos acciones.,Anónimo
P133,La persistencia es la madre de la buena suerte.,Anónimo
P134,No hay viento favorable para quien no sabe a dónde va.,Anónimo
P135,El arte de la vida es evitar dejarse abatir por las pequeñas cosas.,Anónimo
P136,Una meta sin un plan es solo un deseo.,Anónimo
P137,No hay nada permanente excepto el cambio.,Anónimo
P138,"Si haces lo que siempre has hecho, obtendrás lo que siempre has obtenido.",Anónimo
P139,"La excelencia no es un acto, sino un hábito.",Anónimo
P140,Todo progreso ocurre al borde del caos.,Anónimo
P141,A veces la mayor aventura es vivir la vida de tus sueños.,Anónimo
P142,Mantén tu mente positiva incluso en días negativos.,Anónimo
P143,Cada gran sueño comienza con un soñador.,Anónimo
P144,"Si te cansas, aprende a descansar, no a renunciar.",Anónimo
P145,No eres una gota en el océano; eres el océano entero en una gota.,Anónimo
P146,La oportunidad suele pasar disfrazada de trabajo duro.,Anónimo
P147,Lo que haces hoy puede mejorar todos tus mañanas.,Anónimo
P148,"Cuanto más fuerte sea la tormenta, más brillante será tu arcoíris.",Anónimo
P149,Nunca sabes lo fuerte que eres hasta que ser fuerte es tu única opción.,Anónimo
P150,El primer paso hacia la grandeza es ser honesto contigo mismo.,Anónimo
P151,El éxito depende del esfuerzo.,Anónimo
P152,La clave para el cambio es dejar atrás el miedo.,Anónimo
P153,Un héroe es alguien que ha dado su vida a algo más grande que él mismo.,Joseph Campbell
P154,"Mientras más sudes en la práctica, menos sangrarás en la batalla.",Anónimo
P155,"El liderazgo es influencia, nada más.",John C. Maxwell
P156,El corazón valiente es una poderosa arma.,Anónimo
P157,Lo que no te mata te hace más fuerte.,Friedrich Nietzsche
P158,Los desafíos hacen la vida interesante y superarlos la hace significativa.,Joshua J. Marine
P159,No hay secretos para el éxito: se alcanza preparándose y aprendiendo del fracaso.,Colin Powell
P160,La innovación distingue a un líder de un seguidor.,Steve Jobs
P161,Los límites comienzan donde termina la visión.,Anónimo
P162,Sé fiel a lo que existe dentro de ti.,André Gide
P163,El genio es un 1 % de inspiración y un 99 % de transpiración.,Thomas A. Edison
P164,"Aprende de ayer, vive hoy y espera por el mañana.",Albert Einstein
P165,El poder de la imaginación nos hace infinitos.,John Muir
P166,La vida recompensa a quienes se atreven a vivirla con pasión.,Anónimo
P167,El comienzo es la parte más importante del trabajo.,Platón
P168,"Las personas olvidarán rápido lo que dijiste, pero no cómo los hiciste sentir.",Maya Angelou
P169,El mejor modo de servirte a ti mismo es servir a los demás.,Mahatma Gandhi
P170,Un objetivo correcto se alcanza con un camino correcto.,Anónimo
P171,Cada minuto que inviertes en planificación ahorra diez en ejecución.,Brian Tracy
P172,Las dificultades preparan a las personas ordinarias para destinos extraordinarios.,Anónimo
P173,"El futuro empieza hoy, no mañana.",Juan Pablo II
P174,"Si no luchas por lo que amas, no llores por lo que pierdes.",Anónimo
P175,"El hombre sabio no vive para comer, sino come para vivir.",Benjamin Franklin
P176,Ningún mar en calma hizo experto a un marinero.,Anónimo
P177,"Hay una fuerza motriz más poderosa que el vapor, la electricidad o la energía atómica: la voluntad.",Albert Einstein
P178,El secreto de la creatividad es saber esconder tus fuentes.,Albert Einstein
P179,La acción es la llave fundamental de cualquier éxito.,Pablo Picasso
P180,Los sueños son las semillas de la realidad.,James Allen
P181,"No importa lo que decidas, lo más importante es decidir.",Anónimo
P182,El precio de la grandeza es la responsabilidad.,Winston Churchill
P183,El mundo está lleno de cosas mágicas esperando a que nuestros sentidos se agudicen.,Bertrand Russell
P184,"Nada en la vida debe ser temido, solo comprendido.",Marie Curie
P185,"Si quieres entender la palabra felicidad, debes entenderla como recompensa.",Anónimo
P186,Nunca subestimes el poder de una idea.,Anónimo
P187,"La motivación te impulsa a comenzar, el hábito te mantiene.",Jim Ryun
P188,Quien no sabe lo que busca no entiende lo que encuentra.,Claude Bernard
P189,Tu potencial es la suma de tus pensamientos y acciones.,Anónimo
P190,Vive cada día como si tu vida acabara de empezar.,Johann Wolfgang von Goethe
P191,La luz que brilla dentro de ti es más fuerte que cualquier oscuridad externa.,Anónimo
P192,"Las palabras pueden inspirar, pero solo la acción crea cambio.",Simon Sinek
P193,La determinación es el fuego que forja el éxito.,Anónimo
P194,"Encuentra un propósito, los medios llegarán.",Mahatma Gandhi
P195,La grandeza se mide por las batallas que elijas librar.,Anónimo
P196,Una simple sonrisa puede cambiar tu día y el de alguien más.,Anónimo
P197,"Si quieres ver resultados distintos, haz cosas distintas.",Anónimo
P198,"El reto del liderazgo es ser fuerte, pero no rudo; bondadoso, pero no débil; audaz, pero no matón; humilde, pero no tímido; orgulloso, pero no arrogante.",Jim Rohn
P199,"Cuando dices “sí” a los demás, asegúrate de no decir “no” a ti mismo.",Anónimo
P200,El mejor momento para plantar un árbol fue hace veinte años; el segundo mejor momento es ahora.,Anónimo
